date,state,tot_cases,new_cases,administered_dose1_recip,series_complete_yes,new_dose_1,new_series_completed
2021-01-23,OH,859841.0,5859.0,389979.0,33913.0,26229.0,9104.0
2021-01-24,OH,864322.0,4481.0,418625.0,42829.0,28646.0,8916.0
2021-01-25,OH,868656.0,4334.0,440905.0,47203.0,22280.0,4374.0
2021-01-26,OH,872918.0,4262.0,456978.0,49884.0,16073.0,2681.0
2021-01-27,OH,878284.0,5366.0,473719.0,56205.0,16741.0,6321.0
2021-01-28,OH,883716.0,5432.0,495059.0,68568.0,21340.0,12363.0
2021-01-29,OH,888590.0,4874.0,515955.0,83839.0,20896.0,15271.0
2021-01-30,OH,892781.0,4191.0,549394.0,102660.0,33439.0,18821.0
2021-01-31,OH,895792.0,3011.0,595644.0,121590.0,46250.0,18930.0
2021-02-01,OH,899079.0,3287.0,600678.0,121830.0,5034.0,240.0
2021-02-02,OH,902736.0,3657.0,621523.0,129055.0,20845.0,7225.0
2021-02-03,OH,906727.0,3991.0,643941.0,137080.0,22418.0,8025.0
2021-02-04,OH,910847.0,4120.0,665866.0,149576.0,21925.0,12496.0
2021-02-05,OH,914530.0,3683.0,686276.0,167540.0,20410.0,17964.0
2021-02-06,OH,918079.0,3549.0,718233.0,188395.0,31957.0,20855.0
2021-02-07,OH,920217.0,2138.0,767800.0,219598.0,49567.0,31203.0
2021-02-08,OH,922143.0,1926.0,785298.0,224577.0,17498.0,4979.0
2021-02-09,OH,925350.0,3207.0,800542.0,235569.0,15244.0,10992.0
2021-02-10,OH,928631.0,3281.0,824335.0,252757.0,23793.0,17188.0
2021-02-11,OH,931437.0,2806.0,825824.0,254951.0,1489.0,2194.0
2021-02-12,OH,934742.0,3305.0,868496.0,273479.0,42672.0,18528.0
2021-02-13,OH,937541.0,2799.0,898585.0,299152.0,30089.0,25673.0
2021-02-14,OH,939350.0,1809.0,934691.0,331465.0,36106.0,32313.0
2021-02-15,OH,941265.0,1915.0,965877.0,348593.0,31186.0,17128.0
2021-02-16,OH,943291.0,2026.0,985772.0,357854.0,19895.0,9261.0
2021-02-17,OH,945107.0,1816.0,1013161.0,382558.0,27389.0,24704.0
2021-02-18,OH,947389.0,2282.0,1037161.0,402595.0,24000.0,20037.0
2021-02-19,OH,949695.0,2306.0,1058384.0,433682.0,21223.0,31087.0
2021-02-20,OH,952306.0,2611.0,1059465.0,435607.0,1081.0,1925.0
2021-02-21,OH,953767.0,1461.0,1083338.0,476395.0,23873.0,40788.0
2021-02-22,OH,955378.0,1611.0,1093477.0,500182.0,10139.0,23787.0
2021-02-23,OH,958153.0,2775.0,1103342.0,516872.0,9865.0,16690.0
2021-02-24,OH,959995.0,1842.0,1122681.0,538679.0,19339.0,21807.0
2021-02-25,OH,962404.0,2409.0,1144268.0,565222.0,21587.0,26543.0
2021-02-26,OH,964380.0,1976.0,1171320.0,590775.0,27052.0,25553.0
2021-02-27,OH,966154.0,1774.0,1205359.0,622239.0,34039.0,31464.0
2021-02-28,OH,967422.0,1268.0,1273586.0,677098.0,68227.0,54859.0
2021-03-01,OH,968874.0,1452.0,1275018.0,677328.0,1432.0,230.0
2021-03-02,OH,970583.0,1709.0,1299161.0,698591.0,24143.0,21263.0
2021-03-03,OH,972605.0,2022.0,1329187.0,718137.0,30026.0,19546.0
2021-03-04,OH,974480.0,1875.0,1357107.0,738854.0,27920.0,20717.0
2021-03-05,OH,976230.0,1750.0,1391194.0,757571.0,34087.0,18717.0
2021-03-06,OH,977736.0,1506.0,1444585.0,789306.0,53391.0,31735.0
2021-03-07,OH,978471.0,735.0,1490093.0,830952.0,45508.0,41646.0
2021-03-08,OH,979725.0,1254.0,1540484.0,881031.0,50391.0,50079.0
2021-03-09,OH,981618.0,1893.0,1542255.0,882453.0,1771.0,1422.0
2021-03-10,OH,983486.0,1868.0,1573229.0,907788.0,30974.0,25335.0
2021-03-11,OH,984934.0,1448.0,1614168.0,935247.0,40939.0,27459.0
2021-03-12,OH,986740.0,1806.0,1669511.0,971668.0,55343.0,36421.0
2021-03-13,OH,988298.0,1558.0,1735913.0,1015731.0,66402.0,44063.0
2021-03-14,OH,989191.0,893.0,1791529.0,1051909.0,55616.0,36178.0
2021-03-15,OH,990340.0,1149.0,1833477.0,1081983.0,41948.0,30074.0
