Date,AK_V,AL_V,AR_V,AZ_V,CA_V,CO_V,CT_V,DC_V,DE_V,FL_V,GA_V,IA_V,ID_V,IL_V,IN_V,KS_V,KY_V,LA_V,MA_V,MD_V,ME_V,MI_V,MN_V,MO_V,MS_V,MT_V,NC_V,ND_V,NE_V,NH_V,NJ_V,NM_V,NV_V,NY_V,OH_V,OK_V,OR_V,PA_V,RI_V,SC_V,SD_V,TN_V,TX_V,UT_V,VA_V,VT_V,WA_V,WI_V,WV_V,WY_V
2021-01-28,2035.0,10170.0,5069.0,6487.0,38241.0,328.0,9764.0,424.0,1078.0,33944.0,11546.0,6559.0,2501.0,18873.0,8301.0,4065.0,534.0,7080.0,12477.0,10846.0,3375.0,1039.0,11793.0,8579.0,2320.0,6202.0,15648.0,3725.0,5337.0,349.0,13209.0,5032.0,2704.0,34788.0,12363.0,7488.0,10376.0,34568.0,1495.0,5847.0,2890.0,19775.0,,191.0,11208.0,1671.0,10875.0,6562.0,6243.0,2334.0
2021-01-29,1591.0,5343.0,6167.0,7533.0,31595.0,480.0,4018.0,512.0,1169.0,39005.0,10247.0,5718.0,1411.0,16921.0,7906.0,5767.0,15891.0,7507.0,10738.0,11126.0,3388.0,16665.0,9337.0,9376.0,2199.0,3042.0,15526.0,159.0,4121.0,478.0,10115.0,7423.0,3013.0,32085.0,15271.0,10057.0,318.0,17652.0,1220.0,5944.0,2423.0,12799.0,,8121.0,11392.0,931.0,8526.0,9063.0,7604.0,178.0
2021-01-30,1801.0,4376.0,4434.0,13127.0,38652.0,584.0,305.0,134.0,834.0,25911.0,1623.0,5971.0,1609.0,14382.0,512.0,926.0,172.0,8610.0,9879.0,6786.0,2798.0,31694.0,6972.0,8326.0,1965.0,165.0,16936.0,2286.0,201.0,237.0,10144.0,4821.0,2798.0,26738.0,18821.0,21377.0,7676.0,14209.0,1186.0,8585.0,2181.0,13393.0,,4835.0,13942.0,1144.0,9026.0,15225.0,5209.0,195.0
2021-01-31,1259.0,1930.0,54.0,91.0,35089.0,126.0,8637.0,735.0,1374.0,17776.0,10557.0,1923.0,82.0,7384.0,453.0,3361.0,5256.0,12260.0,6282.0,5387.0,2124.0,57.0,4937.0,2776.0,1878.0,1162.0,6893.0,2254.0,3194.0,132.0,5727.0,6166.0,2143.0,14813.0,18930.0,19.0,8727.0,8245.0,438.0,5547.0,2084.0,8904.0,,34.0,8463.0,1671.0,9112.0,2633.0,1664.0,1635.0
2021-02-01,978.0,1031.0,3853.0,3086.0,34178.0,127.0,2933.0,285.0,1528.0,14314.0,5691.0,941.0,1109.0,4064.0,1902.0,4665.0,2322.0,10957.0,3949.0,1864.0,1268.0,9821.0,78.0,1120.0,1002.0,1255.0,1406.0,1078.0,3097.0,128.0,4657.0,4571.0,1616.0,9206.0,240.0,2576.0,4632.0,6469.0,1231.0,1232.0,223.0,1378.0,,9510.0,7255.0,553.0,9345.0,31.0,750.0,332.0
2021-02-02,907.0,3128.0,890.0,1791.0,1975.0,331.0,1950.0,320.0,105.0,45889.0,16687.0,3390.0,1512.0,8644.0,8423.0,3073.0,6533.0,8175.0,6629.0,3660.0,40.0,14770.0,750.0,3628.0,883.0,648.0,16640.0,117.0,2735.0,205.0,9404.0,347.0,2324.0,15498.0,7225.0,1024.0,4481.0,2533.0,351.0,3895.0,293.0,13088.0,0.0,387.0,7978.0,419.0,4954.0,6226.0,2782.0,884.0
2021-02-03,1458.0,4387.0,9037.0,6935.0,24025.0,630.0,1819.0,995.0,718.0,49889.0,12319.0,5511.0,2266.0,17186.0,10637.0,4282.0,8242.0,11687.0,7733.0,10882.0,2601.0,556.0,13095.0,5467.0,2877.0,2796.0,21548.0,2433.0,3976.0,287.0,9103.0,8051.0,8276.0,22326.0,8025.0,22137.0,7205.0,19463.0,763.0,7124.0,1857.0,792.0,0.0,196.0,8208.0,1482.0,8032.0,573.0,3488.0,167.0
2021-02-04,2879.0,6410.0,583.0,10665.0,32469.0,375.0,3717.0,747.0,1846.0,22989.0,17294.0,5261.0,2029.0,13825.0,13988.0,4199.0,12453.0,16743.0,9762.0,14753.0,147.0,20935.0,635.0,7456.0,7011.0,2064.0,22484.0,1896.0,3540.0,320.0,13597.0,5597.0,899.0,38974.0,12496.0,715.0,9586.0,20176.0,732.0,7546.0,2220.0,23238.0,0.0,7733.0,9798.0,1494.0,10424.0,12770.0,7754.0,106.0
2021-02-05,2700.0,7683.0,13093.0,25328.0,52273.0,841.0,3815.0,1294.0,1082.0,74227.0,22570.0,6556.0,376.0,16501.0,15438.0,6179.0,15349.0,933.0,10126.0,16288.0,4199.0,54345.0,19174.0,12620.0,4551.0,3865.0,31047.0,652.0,5447.0,469.0,19484.0,7484.0,4822.0,44513.0,17964.0,16127.0,7338.0,25010.0,766.0,8817.0,2051.0,13067.0,0.0,4745.0,17063.0,1684.0,10358.0,13579.0,11128.0,4242.0
2021-02-06,3647.0,8063.0,9261.0,3191.0,56044.0,790.0,788.0,495.0,1552.0,80342.0,22729.0,7032.0,5594.0,14703.0,917.0,1698.0,15371.0,36587.0,15703.0,17077.0,4008.0,26632.0,7785.0,12816.0,10968.0,2897.0,32908.0,4418.0,625.0,265.0,25651.0,6996.0,7178.0,53247.0,20855.0,40040.0,11823.0,24966.0,1373.0,11061.0,4193.0,16785.0,0.0,7163.0,22769.0,1775.0,14478.0,29245.0,8576.0,669.0
